,Company,Segment,Segment Description,text,Predicted
4614,kansas city life insurance company,Group insurance,"Provides group life, dental, vision, and disability insurance primarily to small and medium sized employers.","kansas city life insurance company Group insurance Provides group life, dental, vision, and disability insurance primarily to small and medium sized employers.",Not Applicable
5693,apollo global management inc.,Private Equity,"Acquires controlling interests in companies to restructure ownership and management. Focuses on distressed investments, corporate carve-outs, and infrastructure.","apollo global management inc. Private Equity Acquires controlling interests in companies to restructure ownership and management. Focuses on distressed investments, corporate carve-outs, and infrastructure.",Not Applicable
6091,hikma pharmaceuticals plc,Other,Provides contract development and manufacturing services to other pharmaceutical companies,hikma pharmaceuticals plc Other Provides contract development and manufacturing services to other pharmaceutical companies,Not Applicable
435,alto ingredients inc.,Carbon capture initiatives,Developing and implementing carbon capture projects to lower the carbon intensity of ethanol production.,alto ingredients inc. Carbon capture initiatives Developing and implementing carbon capture projects to lower the carbon intensity of ethanol production.,Environmental Services & Resources
1049,easyjet plc,UK,Operates passenger flights within the UK and Europe from its main bases in the UK.,easyjet plc UK Operates passenger flights within the UK and Europe from its main bases in the UK.,Transport Solutions
3352,capitol federal financial inc.,Mortgage Banking,Offers and originates residential real estate loans through its subsidiary Capitol Federal Savings Bank. Also provides loans for constructing and renovating residential properties.,capitol federal financial inc. Mortgage Banking Offers and originates residential real estate loans through its subsidiary Capitol Federal Savings Bank. Also provides loans for constructing and renovating residential properties.,Not Applicable
3396,alexander & baldwin inc.,Real Estate,"Owns, operates, and develops retail, industrial, and resort properties primarily in Hawaii.","alexander & baldwin inc. Real Estate Owns, operates, and develops retail, industrial, and resort properties primarily in Hawaii.",Not Applicable
2559,cvr energy inc.,Specialty Products,Produces and markets specialty hydrocarbon products,cvr energy inc. Specialty Products Produces and markets specialty hydrocarbon products,Energy Management & Efficiency
2513,the williams companies inc.,Gas Processing,Processes and conditions natural gas for transportation and end-use consumption,the williams companies inc. Gas Processing Processes and conditions natural gas for transportation and end-use consumption,Not Applicable
2548,callon petroleum company,Crude Oil Production,Callon Petroleum drills for and produces crude oil from wells primarily in the Permian Basin.,callon petroleum company Crude Oil Production Callon Petroleum drills for and produces crude oil from wells primarily in the Permian Basin.,Not Applicable
4772,diversified healthcare trust,Skilled Nursing Facilities,"Operates skilled nursing facilities that provide short-term and long-term care services. This includes physical, occupational and speech therapies.","diversified healthcare trust Skilled Nursing Facilities Operates skilled nursing facilities that provide short-term and long-term care services. This includes physical, occupational and speech therapies.",Not Applicable
4013,argo group international holdings ltd.,ArgoGlobal,"Offers property, casualty, professional liability and specialty insurance products through retail and wholesale brokers outside the U.S.","argo group international holdings ltd. ArgoGlobal Offers property, casualty, professional liability and specialty insurance products through retail and wholesale brokers outside the U.S.",Not Applicable
3058,kingspan group plc,Light & Air,"Provides daylighting, natural ventilation and smoke management solutions","kingspan group plc Light & Air Provides daylighting, natural ventilation and smoke management solutions",Energy Management & Efficiency
3997,ani pharmaceuticals inc.,Contract Manufacturing,Provides contract development and manufacturing services for pharmaceutical companies,ani pharmaceuticals inc. Contract Manufacturing Provides contract development and manufacturing services for pharmaceutical companies,Not Applicable
3583,sumitomo heavy industries ltd.,Logistics and Environmental,Provides logistics services including air cargo handling systems and waste treatment systems,sumitomo heavy industries ltd. Logistics and Environmental Provides logistics services including air cargo handling systems and waste treatment systems,Resource Efficiency & Waste Management
4059,corporate office properties trust,Strategic Capital,"Manages discretionary real estate investment fund focused on acquiring and developing properties, including office, data centers and mixed use properties.","corporate office properties trust Strategic Capital Manages discretionary real estate investment fund focused on acquiring and developing properties, including office, data centers and mixed use properties.",Energy Management & Efficiency
1047,easyjet plc,Ancillary revenue,"Generates revenue from ancillary services like checked baggage, seat selection, speedy boarding, and on-board food and drinks.","easyjet plc Ancillary revenue Generates revenue from ancillary services like checked baggage, seat selection, speedy boarding, and on-board food and drinks.",Not Applicable
1446,chatham lodging trust,Urban Hotels,"Owns hotels in top urban markets including New York, Boston, San Diego, and Los Angeles. Focus on high RevPAR potential.","chatham lodging trust Urban Hotels Owns hotels in top urban markets including New York, Boston, San Diego, and Los Angeles. Focus on high RevPAR potential.",Energy Management & Efficiency
4507,compagnie des alpes sa,Travel Retail,Operates duty-free and travel retail stores in ski resorts and airports.,compagnie des alpes sa Travel Retail Operates duty-free and travel retail stores in ski resorts and airports.,Not Applicable
4767,columbus mckinnon corporation,Digital services,Offers digital services and cloud solutions for asset management and monitoring,columbus mckinnon corporation Digital services Offers digital services and cloud solutions for asset management and monitoring,Digital Infrastructure
1261,john wiley & sons inc.,Professional Development,"Offers online training, certification preparation, and professional development resources.","john wiley & sons inc. Professional Development Offers online training, certification preparation, and professional development resources.",Not Applicable
4122,uco bank,Retail Banking,"Branch banking, lending, deposits, credit cards, mortgages, etc. for individual customers","uco bank Retail Banking Branch banking, lending, deposits, credit cards, mortgages, etc. for individual customers",Not Applicable
4907,c3.ai inc.,Cloud Services,Provides a cloud-based development and deployment platform for running enterprise AI applications.,c3.ai inc. Cloud Services Provides a cloud-based development and deployment platform for running enterprise AI applications.,Digital Infrastructure
1354,american express company,International Consumer and Network Services,Issues and services cards outside of the United States,american express company International Consumer and Network Services Issues and services cards outside of the United States,Not Applicable
4605,the cooper companies inc.,Miropia,Manufactures myopia control lenses,the cooper companies inc. Miropia Manufactures myopia control lenses,Not Applicable
5482,agilysys inc.,Document Management Solutions,"Offers document management, imaging, scanning, electronic signature capture, and records management solutions","agilysys inc. Document Management Solutions Offers document management, imaging, scanning, electronic signature capture, and records management solutions",Not Applicable
393,commercial vehicle group inc.,Global Construction,"Manufactures seats and interior trim systems primarily for global construction, agriculture and specialty heavy truck markets","commercial vehicle group inc. Global Construction Manufactures seats and interior trim systems primarily for global construction, agriculture and specialty heavy truck markets",Energy Management & Efficiency
6622,pt bayan resources tbk,Logistics,Operates a dedicated coal haul road and barge loading port facilities.,pt bayan resources tbk Logistics Operates a dedicated coal haul road and barge loading port facilities.,Not Applicable
1005,jenoptik ag,Light & Production,"Provides manufacturing solutions and products for the automotive, aerospace, and other industries","jenoptik ag Light & Production Provides manufacturing solutions and products for the automotive, aerospace, and other industries",Energy Management & Efficiency
4331,amazon.com inc.,Physical stores,"Operates Amazon Go, Amazon Books, Amazon 4-star, and Amazon Fresh physical retail stores","amazon.com inc. Physical stores Operates Amazon Go, Amazon Books, Amazon 4-star, and Amazon Fresh physical retail stores",Not Applicable
4085,ambac financial group inc.,International Finance,Insures obligations of public and private borrowers in more than 30 countries outside the United States,ambac financial group inc. International Finance Insures obligations of public and private borrowers in more than 30 countries outside the United States,Not Applicable
3940,broadridge financial solutions inc.,Business Process Outsourcing Solutions,"Provides business process outsourcing services for brokerage, clearing, exchange and custody firms globally","broadridge financial solutions inc. Business Process Outsourcing Solutions Provides business process outsourcing services for brokerage, clearing, exchange and custody firms globally",Not Applicable
5796,community healthcare trust incorporated,Physician Clinics,"Owns, leases, manages, acquires, finances, develops, and redevelops physician-owned or physician-occupied medical office buildings and other facilities.","community healthcare trust incorporated Physician Clinics Owns, leases, manages, acquires, finances, develops, and redevelops physician-owned or physician-occupied medical office buildings and other facilities.",Not Applicable
763,persimmon plc,Brickmaking,Manufacturing bricks and tiles for use in housebuilding,persimmon plc Brickmaking Manufacturing bricks and tiles for use in housebuilding,Not Applicable
6455,jsc halyk bank,Retail Banking,"Provides banking services to individuals including current accounts, deposits, loans, debit and credit cards, and other services.","jsc halyk bank Retail Banking Provides banking services to individuals including current accounts, deposits, loans, debit and credit cards, and other services.",Not Applicable
6146,beazley plc,Marine,"Specialty marine insurance including cargo, hull and liability coverage.","beazley plc Marine Specialty marine insurance including cargo, hull and liability coverage.",Not Applicable
3252,brightcove inc.,Video marketing tools,"Brightcove offers video marketing tools for customized video players, analytics, SEO, social sharing, and lead generation.","brightcove inc. Video marketing tools Brightcove offers video marketing tools for customized video players, analytics, SEO, social sharing, and lead generation.",Not Applicable
2664,rocky brands inc.,Hunting Boots,Produces hunting boots and clothing under the Rocky and Mossy Oak brand names.,rocky brands inc. Hunting Boots Produces hunting boots and clothing under the Rocky and Mossy Oak brand names.,Not Applicable
101,zalando se,Zalando Lounge,Discount site selling leftover stock and returned items at reduced prices,zalando se Zalando Lounge Discount site selling leftover stock and returned items at reduced prices,Not Applicable
6240,lazard ltd,Merchant Banking,"Manages its liquid assets, which can include investments in corporate, sovereign, institutional and high-net-worth individualsÃ¢Â€Â™ capital markets transactions.","lazard ltd Merchant Banking Manages its liquid assets, which can include investments in corporate, sovereign, institutional and high-net-worth individualsÃ¢Â€Â™ capital markets transactions.",Not Applicable
828,agco corporation,Combines,Manufactures self-propelled combines used in harvesting grain crops,agco corporation Combines Manufactures self-propelled combines used in harvesting grain crops,Sustainable Food & Agriculture
3286,908 devices inc.,Food Safety,"Develops mass spectrometry systems to detect pathogens, toxins, allergens, and chemical contaminants in food and agricultural products.","908 devices inc. Food Safety Develops mass spectrometry systems to detect pathogens, toxins, allergens, and chemical contaminants in food and agricultural products.",Sustainable Food & Agriculture
2892,harsco corporation,Rail,Supplies railway maintenance of way equipment and services,harsco corporation Rail Supplies railway maintenance of way equipment and services,Transport Solutions
5432,livanova plc,Neuromodulation,"Designs, develops and markets neuromodulation therapy for the treatment of drug-resistant epilepsy, difficult-to-treat depression and obstructive sleep apnea","livanova plc Neuromodulation Designs, develops and markets neuromodulation therapy for the treatment of drug-resistant epilepsy, difficult-to-treat depression and obstructive sleep apnea",Not Applicable
3410,kier group plc,Services,"Provides facilities management, maintenance, utilities and cleaning services for public and private sector clients. Manages and maintains properties, facilities and infrastructure.","kier group plc Services Provides facilities management, maintenance, utilities and cleaning services for public and private sector clients. Manages and maintains properties, facilities and infrastructure.",Energy Management & Efficiency
2523,cenovus energy inc.,Refining & Marketing,"Owns 50% interest in two U.S. refineries located in Illinois and Texas with a combined processing capacity of 464,000 barrels per day. Markets transportation fuels and other refined products.","cenovus energy inc. Refining & Marketing Owns 50% interest in two U.S. refineries located in Illinois and Texas with a combined processing capacity of 464,000 barrels per day. Markets transportation fuels and other refined products.",Not Applicable
3917,direct line insurance group plc,Motor insurance,"Provides motor insurance products including third party liability, theft and fire damage, and comprehensive policies","direct line insurance group plc Motor insurance Provides motor insurance products including third party liability, theft and fire damage, and comprehensive policies",Not Applicable
4245,celularity inc.,Contract Development and Manufacturing,Celularity offers contract manufacturing services for cell therapy and biologics development and commercial production.,celularity inc. Contract Development and Manufacturing Celularity offers contract manufacturing services for cell therapy and biologics development and commercial production.,Not Applicable
217,taikisha ltd.,Paint Finishing Systems,"Manufactures and sells paint finishing systems for automobiles and other products. Offers spray booths, ovens, conveyors, and environmental equipment.","taikisha ltd. Paint Finishing Systems Manufactures and sells paint finishing systems for automobiles and other products. Offers spray booths, ovens, conveyors, and environmental equipment.",Energy Management & Efficiency
6761,sanyo chemical industries ltd.,Polyurethane materials,"Makes flexible and rigid polyurethane foams used in furniture, bedding, automotive parts, insulation, etc.","sanyo chemical industries ltd. Polyurethane materials Makes flexible and rigid polyurethane foams used in furniture, bedding, automotive parts, insulation, etc.",Energy Management & Efficiency
1578,ceridian hcm holding inc.,Professional Services,Provides implementation and training services for Ceridian's cloud-based HCM platforms.,ceridian hcm holding inc. Professional Services Provides implementation and training services for Ceridian's cloud-based HCM platforms.,Not Applicable
1471,360 digitech inc.,Loan facilitation,Connects financial institutions and borrowers for loan products,360 digitech inc. Loan facilitation Connects financial institutions and borrowers for loan products,Not Applicable
5606,afc energy plc,E-waste solutions,Develops alkaline fuel cell systems to recover precious metals from electronic waste streams.,afc energy plc E-waste solutions Develops alkaline fuel cell systems to recover precious metals from electronic waste streams.,Resource Efficiency & Waste Management
3315,arcelormittal s.a.,Long Carbon Americas and Europe,"Produces wire rod, rebar, steel foundation piles, special bar quality and merchant bar quality products in North and South America and Europe. Serves construction and other industries.","arcelormittal s.a. Long Carbon Americas and Europe Produces wire rod, rebar, steel foundation piles, special bar quality and merchant bar quality products in North and South America and Europe. Serves construction and other industries.",Resource Efficiency & Waste Management
1971,autodesk inc.,Architecture Engineering & Construction,"Provides software for architectural design, engineering, construction, manufacturing, media and entertainment industries","autodesk inc. Architecture Engineering & Construction Provides software for architectural design, engineering, construction, manufacturing, media and entertainment industries",Digital Infrastructure
1370,blackrock inc.,Fixed Income,"BlackRock's fixed income business provides investment solutions across the yield curve, risk spectrum and geographic borders. It offers investment grade, high yield, multi-sector, bank loans and alternative credit.","blackrock inc. Fixed Income BlackRock's fixed income business provides investment solutions across the yield curve, risk spectrum and geographic borders. It offers investment grade, high yield, multi-sector, bank loans and alternative credit.",Not Applicable
6026,pge polska grupa energetyczna s.a.,Power distribution,Owns and operates power distribution networks to deliver electricity to end consumers,pge polska grupa energetyczna s.a. Power distribution Owns and operates power distribution networks to deliver electricity to end consumers,Environmental Services & Resources
5679,arthur j. gallagher & co.,Corporate,Brokerage services to large corporate clients,arthur j. gallagher & co. Corporate Brokerage services to large corporate clients,Not Applicable
4502,dxp enterprises inc.,Electrical Components,"Supplies electrical power transmission, lighting, wire, cable and related products","dxp enterprises inc. Electrical Components Supplies electrical power transmission, lighting, wire, cable and related products",Energy Management & Efficiency
3078,ter beke nv,Fresh Meals,"Makes and sells fresh ready meals including lasagne,spaghetti bolognese,stir fries,etc.","ter beke nv Fresh Meals Makes and sells fresh ready meals including lasagne,spaghetti bolognese,stir fries,etc.",Sustainable Food & Agriculture
712,blucora inc.,Monetization solutions,"Monetizes consumer traffic to TaxAct through search, display and video advertising.","blucora inc. Monetization solutions Monetizes consumer traffic to TaxAct through search, display and video advertising.",Not Applicable
50,lawson inc.,Convenience Stores,"Operates convenience stores under the Lawson, Natural Lawson and Lawson Store 100 brands in Japan, offering fast foods, beverages, processed foods, magazines and other daily necessities","lawson inc. Convenience Stores Operates convenience stores under the Lawson, Natural Lawson and Lawson Store 100 brands in Japan, offering fast foods, beverages, processed foods, magazines and other daily necessities",Sustainable Food & Agriculture
3905,aersale corporation,Integrated Supply Chain Services,"Provides supply chain services for aviation parts, including parts provisioning, inventory management, logistics, materials handling, and component repair","aersale corporation Integrated Supply Chain Services Provides supply chain services for aviation parts, including parts provisioning, inventory management, logistics, materials handling, and component repair",Not Applicable
2902,aspen aerogels inc.,Electric Vehicle Thermal Management,Develops thermal management solutions for electric vehicle battery packs and other EV components.,aspen aerogels inc. Electric Vehicle Thermal Management Develops thermal management solutions for electric vehicle battery packs and other EV components.,Transport Solutions
1195,agnico eagle mines limited,Silver production,Produces silver as a by-product of its gold mining operations.,agnico eagle mines limited Silver production Produces silver as a by-product of its gold mining operations.,Resource Efficiency & Waste Management
2794,intercontinental exchange inc.,Fixed Income & Credit,"Offers execution, processing, clearing, and data services for fixed income and credit derivatives markets","intercontinental exchange inc. Fixed Income & Credit Offers execution, processing, clearing, and data services for fixed income and credit derivatives markets",Not Applicable
5428,ihi corporation,Social infrastructure and offshore facilities,"Constructs and maintains bridges, water gates, shield tunnels, lng tanks, offshore structures, and other infrastructure","ihi corporation Social infrastructure and offshore facilities Constructs and maintains bridges, water gates, shield tunnels, lng tanks, offshore structures, and other infrastructure",Water Infrastructure & Technologies
2404,the mosaic company,Potash,Mines and produces potash crop nutrients,the mosaic company Potash Mines and produces potash crop nutrients,Sustainable Food & Agriculture
736,idex corporation,Dispensing,Supplies precision fluidics and associated dispensing solutions for applications in industrial markets,idex corporation Dispensing Supplies precision fluidics and associated dispensing solutions for applications in industrial markets,Energy Management & Efficiency
3245,adecoagro s.a.,Dairy,Produces and sells milk and dairy products. Operates dairy farms and processing plants in Argentina.,adecoagro s.a. Dairy Produces and sells milk and dairy products. Operates dairy farms and processing plants in Argentina.,Sustainable Food & Agriculture
5638,associated capital group inc.,Brokerage,Operates a full service retail securities brokerage and investment banking firm,associated capital group inc. Brokerage Operates a full service retail securities brokerage and investment banking firm,Not Applicable
4350,bunge limited,Fertilizer,Produces and sells fertilizer to farmers.,bunge limited Fertilizer Produces and sells fertilizer to farmers.,Sustainable Food & Agriculture
3689,comstock resources inc.,Arkoma Basin,"Operates in the Arkoma Basin in Southeast Oklahoma and Northwest Arkansas, producing natural gas","comstock resources inc. Arkoma Basin Operates in the Arkoma Basin in Southeast Oklahoma and Northwest Arkansas, producing natural gas",Not Applicable
5218,altus power inc.,Community solar,Develops community solar projects that allow households to share the benefits of solar power.,altus power inc. Community solar Develops community solar projects that allow households to share the benefits of solar power.,Alternative Energy
2462,kadant inc.,Fiber-based Products,"Low-weight composite face materials used in engineered, industrial, and medical products","kadant inc. Fiber-based Products Low-weight composite face materials used in engineered, industrial, and medical products",Energy Management & Efficiency
2197,maximus inc.,Health Services,"Provides health insurance enrollment support, eligibility appeals, independent medical reviews, and other related services.","maximus inc. Health Services Provides health insurance enrollment support, eligibility appeals, independent medical reviews, and other related services.",Not Applicable
